date,description,jcvi_groups
2020-12-08,jcvi_group='01' OR jcvi_group='02',"01, 02"
2021-01-18,jcvi_group='03' OR jcvi_group='04a' OR jcvi_group='04b',"03, 04a, 04b"
2021-02-15,jcvi_group='05' OR jcvi_group='06',"05, 06"
2021-02-22,age_1 >= 64 AND age_1 < 65,07
2021-03-01,age_1 >= 60 AND age_1 < 64,07
2021-03-08,age_1 >= 55 AND age_1 < 60,08
2021-03-19,age_1 >= 50 AND age_1 < 55,09
2021-04-13,age_2 >= 45 AND age_1 < 50,10
2021-04-26,age_2 >= 40 AND age_1 < 45,10
2021-05-13,age_2 >= 36 AND age_2 < 40,11
2021-05-21,age_2 >= 30 AND age_2 < 36,11
2021-06-08,age_2 >= 25 AND age_2 < 30,12
2021-06-15,age_2 >= 18 AND age_2 < 25,12
2100-12-31,DEFAULT,NA
